mtry	node_size	sample_size	OOB_RMSE
11	8	0.7	0.000974722946221868
10	5	0.632	0.000974777537508743
6	5	0.632	0.0009748308864236
11	7	0.7	0.0009749229626548
12	9	0.7	0.000975061555617989
12	3	0.55	0.000975177480497405
12	8	0.7	0.000975389727931542
6	3	0.632	0.000975455956841921
7	7	0.7	0.000975594825741483
13	5	0.632	0.00097569657408325
7	8	0.7	0.000975777255938502
12	5	0.632	0.000975875999561552
7	5	0.632	0.000976077002802338
5	6	0.7	0.000976126606303102
14	5	0.632	0.000976153679946897
9	4	0.632	0.000976202987873175
9	3	0.632	0.000976215513647121
10	9	0.7	0.000976239191075693
11	3	0.55	0.000976303998841588
8	5	0.632	0.000976357684294298
13	8	0.7	0.000976361720341824
6	8	0.8	0.000976648262850287
13	3	0.55	0.000976967489984412
4	4	0.7	0.000977158744157323
5	5	0.7	0.000977174452051623
8	8	0.7	0.000977192730366382
14	3	0.55	0.000977278133601672
10	8	0.7	0.000977541901229069
9	9	0.7	0.000977558244348707
5	4	0.7	0.000977707831215338
12	4	0.632	0.000977936223636507
6	6	0.7	0.000977943680120021
4	3	0.8	0.000977946995912997
9	3	0.55	0.000978229753426209
14	7	0.7	0.000978386711133927
15	3	0.55	0.00097852648123434
15	7	0.7	0.000978847122182939
15	4	0.632	0.00097894100366084
6	7	0.8	0.000978957399925762
8	4	0.632	0.000979240384344794
15	5	0.632	0.000979250906484595
4	4	0.8	0.000979359077600365
13	7	0.7	0.000979378714181814
10	7	0.7	0.000979493089705057
11	5	0.632	0.000979747040389625
4	3	0.7	0.000979761773437597
10	3	0.632	0.000980096282914373
4	5	0.8	0.00098010365874614
7	10	0.8	0.000980107834784998
13	4	0.632	0.000980160583786822
8	7	0.7	0.000980169271465504
12	7	0.7	0.000980258793407294
9	10	0.8	0.000980355667284392
11	6	0.7	0.000980678981657188
5	4	0.8	0.000980795995418669
14	4	0.632	0.000980995617218463
7	9	0.8	0.000981198582391947
8	9	0.8	0.000981217835703765
8	10	0.8	0.000981640223521148
7	6	0.7	0.00098167142584866
12	10	0.8	0.000982052473877292
9	9	0.8	0.000982078337731066
8	8	0.8	0.000982114520603151
13	10	0.8	0.000982121148615819
10	6	0.7	0.000982129219381156
5	5	0.8	0.000982218844137678
15	10	0.8	0.000982243616739858
11	10	0.8	0.000982245875033196
8	3	0.632	0.000982302516139208
14	3	0.632	0.000982410714280245
9	7	0.7	0.000982613579234183
9	8	0.7	0.000982944379613396
13	3	0.632	0.000983088168949093
14	10	0.8	0.000983131852869893
7	8	0.8	0.000983192135378066
7	4	0.632	0.000983201171901556
11	5	0.7	0.000983279598691184
13	9	0.8	0.000983288077361903
10	4	0.632	0.000983366717617829
7	3	0.632	0.00098371408231137
12	3	0.632	0.000983799872892691
8	5	0.7	0.00098384906215678
15	6	0.7	0.000983891807596168
6	4	0.8	0.000983927779055346
12	9	0.8	0.000984128257371846
11	4	0.632	0.000984356041526753
14	6	0.7	0.000984365665278577
15	9	0.8	0.000984427152517742
10	10	0.8	0.000984631623123474
